VoteKit RankProfile
Candidates
(David Linn:David),(Noah Ernst:Noah ),(Terrence Hayes:Terre),(Thomas Shervey:Thoma),(Joe Furi:Joe F),(Uncertified Write In:Uncer),(Loretta Smith:Loret),(Michael (Mike) Sands:Micha),(Joe Allen:Joe A),(Steph Routh:Steph),(Jamie Dunphy:Jamie),(Peggy Sue Owens:Peggy),(Deian Salazar:Deian),(Cayle Tern:Cayle),(Timur Ender:Timur),(Candace Avalos:Canda),(Doug Clove:Doug )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Terre'},{'Loret'},{'Noah '},,,,&,1.0,&
{'Loret'},{'Steph'},{'Timur'},{'David'},{'Canda'},{'Jamie'},&,1.0,&
{'Loret'},{'Steph'},{'Timur'},{'David'},{'Canda'},{'Jamie'},&,1.0,&
{'Micha'},{'Doug '},{'Joe F'},{'Timur'},{'Deian'},{'Loret'},&,1.0,&
{'Timur'},{'Canda'},{'Cayle'},{'Steph'},{'Micha'},{'Jamie'},&,1.0,&
{'Loret'},{'Canda'},{'Peggy'},{'Jamie'},{'Thoma'},{'Timur'},&,1.0,&
{'Terre'},{'Loret'},,,,,&,1.0,&
{'Loret'},{'Doug '},{'Noah '},,,,&,1.0,&
{'David'},{'Loret'},{'Canda'},{'Jamie'},{'Doug '},{'Cayle'},&,1.0,&
{'David'},{'Loret'},{'Canda'},{'Jamie'},{'Doug '},{'Cayle'},&,1.0,&
{'Deian'},{'Canda'},{'Peggy'},{'Doug '},{'Micha'},{'Jamie'},&,1.0,&
{'Joe A'},{'David'},{'Joe F'},{'Thoma'},{'Doug '},,&,1.0,&
{'Deian'},{'Joe A'},{'Peggy'},{'Doug '},{'Micha'},{'Jamie'},&,1.0,&
{'Steph'},{'Canda'},{'David'},{'Timur'},{'Jamie'},{'Cayle'},&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},,,,&,1.0,&
{'Canda'},{'Timur'},{'Cayle'},{'Deian'},{'Loret'},{'Steph'},&,1.0,&
{'Micha'},,,,,,&,1.0,&
{'Joe F'},{'Loret'},{'Canda'},{'Peggy'},{'Jamie'},{'David'},&,1.0,&
{'Peggy'},{'Canda'},{'Joe F'},{'Deian'},{'Jamie'},{'Cayle'},&,1.0,&
{'Jamie'},,,,,,&,1.0,&
{'Noah '},{'Doug '},{'Joe A'},{'Loret'},{'Peggy'},{'Joe F'},&,1.0,&
{'Deian'},{'Doug '},,,,,&,1.0,&
{'David'},,,,,,&,1.0,&
{'Canda'},{'Jamie'},{'Timur'},{'Loret'},{'Cayle'},,&,1.0,&
{'Terre'},{'Noah '},{'Canda'},,,,&,1.0,&
{'Terre'},{'Noah '},{'Canda'},,,,&,1.0,&
{'Loret'},{'Timur'},{'Steph'},{'Canda'},,,&,1.0,&
{'Steph'},{'Jamie'},{'Noah '},{'Canda'},{'Loret'},{'Doug '},&,1.0,&
{'Steph'},{'Jamie'},{'Noah '},{'Canda'},{'Loret'},{'Doug '},&,1.0,&
{'Noah '},{'Loret'},{'Terre'},,,,&,1.0,&
{'Terre'},{'Loret'},{'Noah '},{'Timur'},,,&,1.0,&
{'Jamie'},,,,,,&,1.0,&
{'Jamie'},{'Canda'},{'Loret'},{'Terre'},{'Steph'},{'Noah '},&,1.0,&
{'Loret'},{'Terre'},{'Canda'},{'Steph'},{'Deian'},{'Jamie'},&,1.0,&
{'Loret'},{'Uncer'},{'Jamie'},{'Steph'},,,&,1.0,&
{'Loret'},{'Uncer'},{'Jamie'},{'Steph'},,,&,1.0,&
{'Steph'},{'Canda'},{'David'},{'Timur'},{'Jamie'},{'Cayle'},&,1.0,&
{'Canda'},{'Loret'},{'Steph'},,,,&,1.0,&
