VoteKit RankProfile
Candidates
(David Linn:David),(Noah Ernst:Noah ),(Terrence Hayes:Terre),(Thomas Shervey:Thoma),(Joe Furi:Joe F),(Uncertified Write In:Uncer),(Loretta Smith:Loret),(Michael (Mike) Sands:Micha),(Joe Allen:Joe A),(Steph Routh:Steph),(Jamie Dunphy:Jamie),(Peggy Sue Owens:Peggy),(Deian Salazar:Deian),(Cayle Tern:Cayle),(Timur Ender:Timur),(Candace Avalos:Canda),(Doug Clove:Doug )
Max Ranking Length
6
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,Ranking_4,Ranking_5,Ranking_6,&,Weight,&
{'Canda'},{'Jamie'},{'Peggy'},{'Loret'},{'Deian'},{'Cayle'},&,1.0,&
{'Steph'},{'Thoma'},{'Jamie'},{'Deian'},{'David'},{'Noah '},&,1.0,&
{'Steph'},,,,,,&,1.0,&
{'Jamie'},{'Timur'},{'Steph'},{'Loret'},{'Cayle'},{'Terre'},&,1.0,&
{'Noah '},{'Terre'},{'Joe F'},{'Loret'},{'Doug '},,&,1.0,&
{'Micha'},{'Loret'},{'Terre'},{'Jamie'},,,&,1.0,&
{'Noah '},,,,,,&,1.0,&
{'Jamie'},{'Canda'},{'David'},{'Steph'},{'Deian'},{'Micha'},&,1.0,&
{'Jamie'},{'Canda'},{'David'},{'Steph'},{'Deian'},{'Micha'},&,1.0,&
{'Canda'},{'Timur'},{'Joe A'},{'Micha'},{'Cayle'},,&,1.0,&
{'Jamie'},,,,,,&,1.0,&
{'Timur'},,,,,,&,1.0,&
{'Terre'},,,,,,&,1.0,&
{'Canda'},{'Jamie'},{'Doug '},{'Terre'},{'David'},{'Thoma'},&,1.0,&
{'Steph'},{'Thoma'},{'Jamie'},{'Deian'},{'David'},{'Noah '},&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Timur'},,,,,,&,1.0,&
{'Steph'},{'Canda'},{'Jamie'},{'Micha'},{'Cayle'},{'Deian'},&,1.0,&
{'Steph'},{'Loret'},,,,,&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},{'Noah '},{'David'},{'Loret'},&,1.0,&
{'Steph'},{'Canda'},{'Timur'},{'Jamie'},{'Loret'},{'Terre'},&,1.0,&
{'Noah '},{'Terre'},{'Loret'},,,,&,1.0,&
{'Joe A'},{'Doug '},{'David'},{'Micha'},{'Thoma'},{'Steph'},&,1.0,&
{'Loret'},{'Steph'},{'Timur'},{'Terre'},{'Jamie'},{'Canda'},&,1.0,&
{'Canda'},{'Cayle'},{'Timur'},{'Steph'},{'Jamie'},{'David'},&,1.0,&
{'Canda'},{'Cayle'},{'Timur'},{'Steph'},{'Jamie'},{'David'},&,1.0,&
{'Noah '},{'Doug '},,,,,&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},{'Noah '},{'David'},{'Loret'},&,1.0,&
{'Noah '},{'Joe A'},{'Doug '},{'Micha'},,,&,1.0,&
{'Noah '},{'Joe A'},{'David'},,,,&,1.0,&
{'Loret'},{'Terre'},{'Steph'},{'Canda'},{'David'},{'Timur'},&,1.0,&
{'Loret'},{'Terre'},{'Steph'},{'Canda'},{'David'},{'Timur'},&,1.0,&
{'Canda'},{'Cayle'},{'Timur'},{'Loret'},{'Deian'},{'Terre'},&,1.0,&
{'Loret'},{'Steph'},,,,,&,1.0,&
{'Joe A'},,,,,,&,1.0,&
{'Loret'},{'Thoma'},,,,,&,1.0,&
{'Jamie'},{'Steph'},{'Canda'},{'Terre'},{'David'},{'Cayle'},&,1.0,&
{'Timur'},{'Terre'},,,,,&,1.0,&
{'Peggy'},{'Noah '},{'Joe A'},,,,&,1.0,&
{'Peggy'},{'Canda'},{'Loret'},{'Steph'},{'Jamie'},{'Deian'},&,1.0,&
{'Loret'},{'Peggy'},{'Noah '},{'Cayle'},{'David'},{'Micha'},&,1.0,&
{'Canda'},{'Steph'},{'Timur'},{'Jamie'},,,&,1.0,&
{'Canda'},{'Peggy'},{'Jamie'},,,,&,1.0,&
{'Loret'},{'Micha'},{'Timur'},{'David'},{'Canda'},{'Steph'},&,1.0,&
{'Loret'},{'Canda'},{'Steph'},{'Jamie'},{'Deian'},,&,1.0,&
{'Noah '},{'Deian'},{'Jamie'},,,,&,1.0,&
{'Noah '},{'Loret'},{'Steph'},{'Terre'},{'Joe F'},{'Doug '},&,1.0,&
{'Jamie'},{'Canda'},{'Timur'},,,,&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Doug '},{'Noah '},{'Deian'},,,,&,1.0,&
{'Noah '},{'Jamie'},{'Deian'},,,,&,1.0,&
{'Terre'},{'Thoma'},{'Micha'},{'David'},{'Joe A'},{'Timur'},&,1.0,&
{'Loret'},{'Noah '},,,,,&,1.0,&
{'Peggy'},{'Micha'},{'Jamie'},{'Doug '},{'Joe A'},{'Joe F'},&,1.0,&
{'Steph'},,,,,,&,1.0,&
{'Noah '},{'Loret'},{'Jamie'},{'Steph'},{'Canda'},,&,1.0,&
{'Canda'},{'Steph'},,,,,&,1.0,&
{'Loret'},{'Doug '},{'Terre'},{'Canda'},{'Timur'},{'Noah '},&,1.0,&
{'Cayle'},{'Steph'},{'Micha'},{'David'},{'Thoma'},,&,1.0,&
{'Peggy'},{'Canda'},{'Loret'},,,,&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Loret'},{'Jamie'},{'Terre'},{'Steph'},{'Timur'},,&,1.0,&
{'Canda'},,,,,,&,1.0,&
{'Timur'},{'David'},{'Joe F'},{'Deian'},{'Terre'},,&,1.0,&
{'Micha'},{'Loret'},{'Deian'},,,,&,1.0,&
{'Loret'},{'Canda'},{'Noah '},{'Deian'},,,&,1.0,&
{'Loret'},{'Steph'},{'Canda'},{'Timur'},{'Noah '},,&,1.0,&
{'Micha'},{'Terre'},{'Steph'},,,,&,1.0,&
{'Loret'},{'Canda'},{'Thoma'},,,,&,1.0,&
{'Noah '},{'Timur'},{'Steph'},{'Canda'},{'David'},{'Loret'},&,1.0,&
{'Jamie'},{'Terre'},{'Loret'},,,,&,1.0,&
{'Loret'},{'Jamie'},{'Timur'},{'Deian'},{'Terre'},{'Micha'},&,1.0,&
{'David'},{'Joe A'},,,,,&,1.0,&
{'Canda'},{'Joe A'},,,,,&,1.0,&
{'Doug '},{'Deian'},{'Joe A'},{'Noah '},{'Steph'},{'Joe F'},&,1.0,&
{'Noah '},{'Canda'},{'David'},,,,&,1.0,&
{'Loret'},{'Terre'},{'Noah '},{'David'},{'Steph'},{'Timur'},&,1.0,&
{'Canda'},{'Steph'},{'Noah '},{'Doug '},{'Micha'},{'Loret'},&,1.0,&
{'Loret'},{'Timur'},,,,,&,1.0,&
{'Steph'},{'Deian'},{'Cayle'},{'Terre'},{'Timur'},{'Peggy'},&,1.0,&
{'Canda'},{'Loret'},{'Jamie'},,,,&,1.0,&
{'Joe A'},{'Doug '},{'Loret'},{'Terre'},{'Noah '},{'Micha'},&,1.0,&
{'Cayle'},{'Timur'},{'Peggy'},{'Doug '},{'Noah '},{'Joe A'},&,1.0,&
{'Steph'},{'Loret'},{'Canda'},{'Peggy'},{'Thoma'},{'Deian'},&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Noah '},{'Doug '},{'Terre'},,,,&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Noah '},{'Doug '},{'Terre'},,,,&,1.0,&
{'Steph'},{'Jamie'},{'Timur'},{'Canda'},{'Cayle'},{'Joe F'},&,1.0,&
{'Timur'},{'Loret'},{'Micha'},{'David'},{'Canda'},{'Joe A'},&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},{'Noah '},,,&,1.0,&
{'Doug '},{'Deian'},{'Joe A'},{'Noah '},{'Steph'},{'Joe F'},&,1.0,&
{'Peggy'},{'Timur'},{'Canda'},{'Joe A'},{'Steph'},,&,1.0,&
{'Joe A'},,,,,,&,1.0,&
{'Timur'},{'Canda'},{'Loret'},,,,&,1.0,&
{'Canda'},{'Cayle'},{'Timur'},,,,&,1.0,&
{'Micha'},,,,,,&,1.0,&
{'Loret'},{'Joe A'},{'Micha'},{'Jamie'},{'Doug '},{'Noah '},&,1.0,&
{'Canda'},{'Micha'},{'Loret'},{'Terre'},{'Jamie'},{'Timur'},&,1.0,&
{'Joe F'},{'David'},{'Loret'},,,,&,1.0,&
{'Joe A'},{'Noah '},{'Doug '},{'Micha'},{'Thoma'},{'Terre'},&,1.0,&
{'Noah '},{'Joe F'},{'Terre'},{'Doug '},,,&,1.0,&
{'Timur'},,,,,,&,1.0,&
{'Loret'},{'Noah '},,,,,&,1.0,&
{'Loret'},{'Steph'},{'Canda'},{'Noah '},{'Terre'},{'Timur'},&,1.0,&
{'Micha'},{'Joe A'},{'Cayle'},{'Joe F'},{'David'},{'Loret'},&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Canda'},{'Steph'},,,,,&,1.0,&
{'Joe F'},{'Joe A'},{'Canda'},{'Peggy'},{'Thoma'},{'Jamie'},&,1.0,&
{'Canda'},{'Timur'},{'Steph'},,,,&,1.0,&
{'Canda'},{'Steph'},{'Jamie'},{'Timur'},{'Joe A'},{'Terre'},&,1.0,&
{'Noah '},{'Doug '},{'Joe A'},,,,&,1.0,&
{'Timur'},{'Loret'},{'David'},,,,&,1.0,&
{'Terre'},,,,,,&,1.0,&
{'Timur'},{'Canda'},{'Jamie'},{'Steph'},{'Cayle'},{'Loret'},&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Micha'},,,,,,&,1.0,&
{'Noah '},{'Timur'},{'David'},{'Micha'},{'Thoma'},{'Peggy'},&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Joe F'},,,,,,&,1.0,&
{'Loret'},{'Terre'},{'Jamie'},{'Steph'},{'Canda'},,&,1.0,&
{'Jamie'},{'Micha'},{'Canda'},,,,&,1.0,&
{'Timur'},{'Canda'},,,,,&,1.0,&
{'Noah '},{'Jamie'},{'Micha'},{'Steph'},{'Thoma'},{'Uncer'},&,1.0,&
{'Jamie'},{'Steph'},{'Timur'},{'Canda'},,,&,1.0,&
{'Peggy'},{'Joe A'},{'Loret'},{'David'},{'Micha'},,&,1.0,&
{'Noah '},{'Joe F'},{'Terre'},{'Doug '},,,&,1.0,&
{'Terre'},{'Loret'},{'Jamie'},{'Deian'},{'Canda'},,&,1.0,&
{'Timur'},,,,,,&,1.0,&
{'Canda'},{'Steph'},{'Loret'},{'Peggy'},{'Jamie'},{'Cayle'},&,1.0,&
{'Terre'},{'Noah '},{'Loret'},{'Canda'},,,&,1.0,&
{'Peggy'},{'Canda'},{'Jamie'},{'Loret'},{'Steph'},{'Cayle'},&,1.0,&
{'Micha'},{'Loret'},{'Canda'},{'Timur'},{'Cayle'},{'Jamie'},&,1.0,&
{'Joe A'},{'Terre'},,,,,&,1.0,&
{'Joe F'},,,,,,&,1.0,&
{'Timur'},{'Noah '},{'Doug '},{'Loret'},{'Steph'},{'Thoma'},&,1.0,&
{'Jamie'},{'Steph'},{'Canda'},{'Noah '},,,&,1.0,&
{'Steph'},{'Canda'},{'Timur'},{'David'},{'Noah '},,&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Deian'},{'Noah '},{'Steph'},{'Canda'},{'Joe A'},,&,1.0,&
{'Timur'},{'Jamie'},{'Loret'},{'Canda'},{'Terre'},,&,1.0,&
{'Noah '},{'Terre'},{'Joe F'},{'Loret'},{'Doug '},,&,1.0,&
{'Terre'},{'Noah '},{'Timur'},,,,&,1.0,&
{'Loret'},{'Steph'},,,,,&,1.0,&
{'Canda'},{'Steph'},{'David'},,,,&,1.0,&
{'Terre'},{'Loret'},,,,,&,1.0,&
{'Timur'},{'Canda'},{'Steph'},{'Loret'},{'Terre'},{'Jamie'},&,1.0,&
{'Joe A'},{'Joe F'},{'Timur'},{'Noah '},{'Loret'},{'Peggy'},&,1.0,&
{'Timur'},,,,,,&,1.0,&
{'Canda'},{'Jamie'},{'Loret'},{'Timur'},{'Steph'},,&,1.0,&
{'Joe F'},{'Doug '},{'Micha'},{'Steph'},{'Terre'},{'Timur'},&,1.0,&
{'Joe A'},{'Doug '},{'Thoma'},{'Joe F'},{'Micha'},{'Jamie'},&,1.0,&
{'Timur'},{'Noah '},{'David'},{'Uncer'},,,&,1.0,&
{'Canda'},{'Steph'},{'Jamie'},{'Deian'},{'Timur'},,&,1.0,&
{'Thoma'},{'Terre'},,,,,&,1.0,&
{'Canda'},{'Timur'},{'Steph'},{'Cayle'},{'Jamie'},{'David'},&,1.0,&
{'Loret'},{'Canda'},{'Peggy'},{'Micha'},{'David'},{'Noah '},&,1.0,&
{'Canda'},{'Steph'},{'Jamie'},{'Loret'},{'Timur'},,&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},{'Noah '},{'David'},{'Loret'},&,1.0,&
{'Terre'},{'Timur'},{'Cayle'},{'Steph'},{'Thoma'},{'Canda'},&,1.0,&
{'Terre'},{'Canda'},{'Joe A'},,,,&,1.0,&
{'Peggy'},{'Timur'},{'Noah '},{'Canda'},{'Joe A'},{'David'},&,1.0,&
{'Terre'},{'Loret'},{'Steph'},{'Timur'},{'Canda'},{'Noah '},&,1.0,&
{'Canda'},{'Cayle'},,,,,&,1.0,&
{'Timur'},{'Canda'},{'Steph'},{'Jamie'},{'Deian'},,&,1.0,&
{'Loret'},{'Jamie'},,,,,&,1.0,&
{'Terre'},{'Noah '},{'Steph'},,,,&,1.0,&
{'Canda'},{'Timur'},{'Noah '},,,,&,1.0,&
{'Micha'},{'Deian'},{'Peggy'},{'Jamie'},{'Loret'},{'Canda'},&,1.0,&
{'Canda'},{'Deian'},,,,,&,1.0,&
{'Noah '},{'Terre'},{'Joe F'},{'Loret'},{'Doug '},,&,1.0,&
{'Joe A'},{'Peggy'},{'Joe F'},{'Thoma'},{'Jamie'},{'David'},&,1.0,&
{'Joe A'},{'Loret'},{'Timur'},{'Doug '},{'Jamie'},{'Steph'},&,1.0,&
{'Loret'},{'Terre'},{'Steph'},{'Jamie'},,,&,1.0,&
{'Steph'},{'Canda'},{'Timur'},{'Jamie'},{'Cayle'},{'David'},&,1.0,&
{'Steph'},{'Canda'},{'Timur'},{'Jamie'},{'Cayle'},{'David'},&,1.0,&
{'Terre'},{'Noah '},{'Steph'},{'Doug '},{'Joe A'},{'Thoma'},&,1.0,&
{'Steph'},{'Noah '},{'Jamie'},{'David'},{'Terre'},{'Canda'},&,1.0,&
{'Loret'},{'Steph'},{'Jamie'},{'Cayle'},{'Canda'},{'Timur'},&,1.0,&
{'Loret'},{'Steph'},{'Jamie'},,,,&,1.0,&
{'Jamie'},{'Doug '},{'Timur'},{'Noah '},{'Deian'},,&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},{'Noah '},,,&,1.0,&
{'Timur'},{'Steph'},{'Jamie'},{'Canda'},{'Terre'},{'Deian'},&,1.0,&
{'Canda'},{'Timur'},{'Steph'},{'Jamie'},{'Terre'},{'Cayle'},&,1.0,&
{'Peggy'},{'Steph'},{'Cayle'},{'Canda'},{'David'},{'Doug '},&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Doug '},{'Joe F'},{'Canda'},{'David'},,,&,1.0,&
{'Jamie'},,,,,,&,1.0,&
{'Noah '},{'Loret'},{'Terre'},{'Joe A'},{'Steph'},{'Doug '},&,1.0,&
{'Micha'},{'Jamie'},{'Loret'},,,,&,1.0,&
{'Timur'},{'Loret'},,,,,&,1.0,&
{'David'},,,,,,&,1.0,&
{'Timur'},{'Loret'},,,,,&,1.0,&
{'Canda'},{'David'},{'Doug '},{'Micha'},,,&,1.0,&
{'Terre'},{'Micha'},{'Loret'},{'Steph'},{'Noah '},{'Canda'},&,1.0,&
{'Jamie'},{'Steph'},{'Canda'},{'Deian'},{'Noah '},{'Micha'},&,1.0,&
{'Noah '},{'Joe A'},{'David'},{'Doug '},{'Joe F'},{'Micha'},&,1.0,&
{'Terre'},{'Canda'},{'Doug '},{'David'},{'Thoma'},{'Steph'},&,1.0,&
{'Jamie'},{'Timur'},{'Canda'},{'Steph'},{'Loret'},{'Terre'},&,1.0,&
{'Doug '},{'Loret'},,,,,&,1.0,&
{'Joe A'},{'Joe F'},{'Peggy'},{'Steph'},{'Loret'},{'Deian'},&,1.0,&
{'Jamie'},,,,,,&,1.0,&
{'Joe A'},{'Thoma'},{'Jamie'},{'Joe F'},{'Cayle'},{'Doug '},&,1.0,&
{'Cayle'},{'Joe F'},{'Canda'},{'Micha'},{'Timur'},{'Thoma'},&,1.0,&
{'Doug '},{'Noah '},{'Terre'},{'Joe F'},{'Jamie'},,&,1.0,&
{'Noah '},{'Terre'},{'Joe F'},{'Loret'},{'Doug '},,&,1.0,&
{'Canda'},{'Timur'},{'Jamie'},{'Steph'},{'Terre'},{'Loret'},&,1.0,&
{'Steph'},{'Jamie'},{'Timur'},{'Canda'},,,&,1.0,&
{'Loret'},,,,,,&,1.0,&
{'Timur'},{'Noah '},{'Peggy'},,,,&,1.0,&
{'Doug '},{'Loret'},,,,,&,1.0,&
{'Timur'},{'Steph'},{'Terre'},{'Jamie'},{'Canda'},{'Loret'},&,1.0,&
{'Noah '},{'Deian'},{'Loret'},,,,&,1.0,&
{'Steph'},{'Timur'},{'Canda'},{'Jamie'},{'Loret'},{'Terre'},&,1.0,&
{'Loret'},{'Terre'},{'Noah '},{'Canda'},{'Jamie'},{'Peggy'},&,1.0,&
{'Loret'},{'Canda'},{'Steph'},{'Terre'},{'Jamie'},{'Deian'},&,1.0,&
{'Peggy'},{'Timur'},{'Noah '},{'Canda'},{'David'},{'Joe F'},&,1.0,&
{'Jamie'},{'Canda'},{'Micha'},{'Joe F'},{'Terre'},{'Cayle'},&,1.0,&
{'Loret'},{'Steph'},{'Timur'},{'David'},{'Deian'},,&,1.0,&
{'Noah '},{'Terre'},{'Joe F'},{'Loret'},{'Doug '},,&,1.0,&
{'Loret'},{'Peggy'},{'Joe F'},{'Canda'},{'Steph'},{'Deian'},&,1.0,&
{'Joe A'},{'Doug '},{'Micha'},{'Terre'},{'Joe F'},{'Thoma'},&,1.0,&
{'Steph'},,,,,,&,1.0,&
{'Doug '},{'Noah '},{'Joe A'},{'Joe F'},{'Canda'},{'Timur'},&,1.0,&
{'Noah '},{'Terre'},{'Joe F'},{'Loret'},,,&,1.0,&
{'Timur'},{'Canda'},{'Steph'},{'Jamie'},{'Loret'},{'Peggy'},&,1.0,&
{'Doug '},{'Thoma'},{'Peggy'},{'Canda'},{'Jamie'},{'David'},&,1.0,&
{'Micha'},{'Noah '},{'Peggy'},,,,&,1.0,&
{'Steph'},{'Jamie'},{'Loret'},,,,&,1.0,&
{'Timur'},,,,,,&,1.0,&
{'Loret'},{'Canda'},{'Terre'},{'Steph'},{'Jamie'},{'Micha'},&,1.0,&
{'Deian'},,,,,,&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},{'Timur'},{'Loret'},{'Joe F'},&,1.0,&
{'Noah '},,,,,,&,1.0,&
{'Loret'},{'Terre'},{'Steph'},{'Jamie'},,,&,1.0,&
{'David'},{'Deian'},{'Steph'},{'Loret'},{'Thoma'},{'Doug '},&,1.0,&
{'Doug '},{'Joe A'},{'David'},{'Thoma'},{'Jamie'},{'Noah '},&,1.0,&
{'Timur'},{'Canda'},{'Deian'},,,,&,1.0,&
{'Loret'},{'Terre'},{'Deian'},{'Noah '},{'Timur'},{'Canda'},&,1.0,&
{'Steph'},{'Loret'},{'Terre'},{'Jamie'},{'Canda'},{'Timur'},&,1.0,&
{'Loret'},{'Timur'},{'David'},{'Jamie'},{'Cayle'},{'Deian'},&,1.0,&
{'Noah '},{'Doug '},{'Timur'},{'Jamie'},{'Terre'},{'Loret'},&,1.0,&
{'Terre'},{'Canda'},{'Doug '},{'David'},{'Thoma'},{'Steph'},&,1.0,&
{'Steph'},{'Loret'},{'Terre'},{'David'},{'Timur'},{'Canda'},&,1.0,&
{'Jamie'},,,,,,&,1.0,&
{'Micha'},{'Noah '},{'David'},{'Doug '},{'Terre'},{'Peggy'},&,1.0,&
{'Steph'},{'Terre'},{'Thoma'},{'Jamie'},{'Micha'},{'Doug '},&,1.0,&
{'Loret'},{'Peggy'},{'Canda'},{'Jamie'},,,&,1.0,&
{'Micha'},,,,,,&,1.0,&
{'Peggy'},{'Joe A'},{'Doug '},{'Deian'},{'Terre'},,&,1.0,&
{'Terre'},{'Canda'},{'Loret'},{'Noah '},{'Jamie'},{'Steph'},&,1.0,&
{'Noah '},,,,,,&,1.0,&
{'Steph'},{'Jamie'},{'Canda'},{'Timur'},{'Cayle'},,&,1.0,&
{'Doug '},{'Noah '},{'Peggy'},{'Timur'},{'Terre'},{'Canda'},&,1.0,&
{'Timur'},{'Doug '},{'Noah '},{'Steph'},{'Thoma'},{'Loret'},&,1.0,&
{'Joe A'},{'Canda'},{'Noah '},{'Joe F'},{'Micha'},{'Doug '},&,1.0,&
{'Noah '},{'Timur'},{'Doug '},{'Loret'},{'Steph'},{'Canda'},&,1.0,&
{'Doug '},{'Thoma'},{'Peggy'},{'Canda'},{'Jamie'},{'David'},&,1.0,&
{'Jamie'},{'Canda'},{'Steph'},{'Noah '},{'David'},{'Timur'},&,1.0,&
{'Doug '},,,,,,&,1.0,&
{'Noah '},{'Joe A'},{'David'},,,,&,1.0,&
{'Peggy'},{'Loret'},{'Thoma'},{'Deian'},{'Micha'},{'Joe A'},&,1.0,&
{'Jamie'},,,,,,&,1.0,&
{'Noah '},{'Terre'},{'Joe F'},{'Loret'},{'Doug '},,&,1.0,&
{'Steph'},{'Deian'},{'Cayle'},{'Canda'},{'Loret'},{'Jamie'},&,1.0,&
{'Canda'},{'Steph'},{'Jamie'},{'Timur'},{'Loret'},{'Cayle'},&,1.0,&
{'Timur'},,,,,,&,1.0,&
{'Canda'},{'Loret'},{'Steph'},,,,&,1.0,&
{'Doug '},{'Loret'},{'Steph'},{'Noah '},{'Joe A'},{'Canda'},&,1.0,&
{'Canda'},{'Timur'},{'Steph'},{'Jamie'},{'Cayle'},{'David'},&,1.0,&
{'Steph'},{'Loret'},,,,,&,1.0,&
{'Timur'},{'Joe A'},{'Micha'},{'Doug '},{'Thoma'},{'Steph'},&,1.0,&
{'Peggy'},{'Noah '},{'Timur'},{'David'},{'Cayle'},{'Loret'},&,1.0,&
{'Steph'},,,,,,&,1.0,&
{'Loret'},{'Peggy'},{'Canda'},,,,&,1.0,&
{'David'},{'Peggy'},{'Timur'},{'Cayle'},{'Micha'},{'Thoma'},&,1.0,&
{'Joe A'},,,,,,&,1.0,&
{'David'},{'Deian'},{'Steph'},{'Loret'},{'Thoma'},{'Doug '},&,1.0,&
{'Thoma'},{'Loret'},{'Jamie'},{'Joe F'},{'Cayle'},{'Noah '},&,1.0,&
{'Canda'},{'Steph'},{'Noah '},,,,&,1.0,&
{'Peggy'},{'Doug '},{'Terre'},{'Steph'},{'David'},{'Loret'},&,1.0,&
{'Steph'},{'Jamie'},{'Timur'},{'Canda'},,,&,1.0,&
{'Timur'},{'Noah '},,,,,&,1.0,&
{'Timur'},{'Canda'},{'Steph'},,,,&,1.0,&
{'Joe A'},{'Peggy'},{'Joe F'},{'Thoma'},{'Jamie'},{'David'},&,1.0,&
{'Loret'},{'Canda'},{'Cayle'},,,,&,1.0,&
{'Loret'},{'Joe A'},{'Micha'},{'David'},{'Terre'},{'Noah '},&,1.0,&
{'Joe A'},{'Joe F'},{'Noah '},{'Thoma'},,,&,1.0,&
{'Steph'},,,,,,&,1.0,&
{'Peggy'},,,,,,&,1.0,&
{'Steph'},{'Jamie'},{'Canda'},{'Noah '},{'Micha'},{'Joe A'},&,1.0,&
{'Canda'},{'Timur'},{'Jamie'},,,,&,1.0,&
{'Canda'},{'Jamie'},{'Cayle'},{'Timur'},{'Steph'},{'David'},&,1.0,&
{'Steph'},{'Canda'},{'Jamie'},{'Timur'},{'Cayle'},{'David'},&,1.0,&
{'Terre'},,,,,,&,1.0,&
